original_accession_n,new_name
GB_GCA_013388675.1_protein,c__SM23-61
GB_GCA_903836285.1_protein,c__UBA2235
GB_GCA_013314755.1_protein,c__HRBIN16
GB_GCA_015231925.1_protein,c__Magnetococcia
GB_GCA_016191015.1_protein,c__CAIWXX01
GB_GCA_015486075.1_protein,c__Desulfomonilia
GB_GCA_016192705.1_protein,c__JACPTQ01
GB_GCA_015711855.1_protein,c__Geothermincolia
GB_GCA_016212085.1_protein,c__JACRHL01
GB_GCA_016215705.1_protein,c__SURF-5
GB_GCA_016195465.1_protein,c__RBG-16-64-22
GB_GCA_016218825.1_protein,c__XYA12-FULL-58-9
GB_GCA_015222555.1_protein,c__JADFVX01
GB_GCA_014728185.1_protein,c__RBG-13-66-14
GB_GCA_016937175.1_protein,c__Mcinerneyibacteria
GB_GCA_017302875.1_protein,c__UBA2361
GB_GCA_016869025.1_protein,c__CSP1-3
GB_GCA_016712525.1_protein,c__Polyangia
GB_GCA_016934855.1_protein,c__SLGR01
GB_GCA_018780265.1_protein,c__Xenobia
GB_GCA_017302015.1_protein,c__UBA12135
GB_GCA_016927185.1_protein,c__JAFGND01
GB_GCA_016874845.1_protein,c__UBA727
GB_GCA_018812485.1_protein,c__JAHJDO01
GB_GCA_017577485.1_protein,c__Thermaerobacteria
GB_GCA_016841325.1_protein,c__Thermincolia
GB_GCA_018000835.1_protein,c__PGYV01
GB_GCA_018830565.1_protein,c__JAHJRX01
GB_GCA_017997825.1_protein,c__JAGOEH01
GB_GCA_018650845.1_protein,c__Dehalococcoidia
GB_GCA_018816525.1_protein,c__Endomicrobia
GB_GCA_018333635.1_protein,c__Dethiobacteria
GB_GCA_018819665.1_protein,c__JS1
GB_GCA_023511835.1_protein,c__JAIMAT01
GB_GCA_019912845.1_protein,c__BMS3BBIN04
GB_GCA_019309145.1_protein,c__DSM-4660
GB_GCA_021160245.1_protein,c__B130-G9
GB_GCA_021810565.1_protein,c__JAJZIM01
GB_GCA_023249225.1_protein,c__Marinamargulisbacteria
GB_GCA_020052375.1_protein,c__JAHEXW01
GB_GCA_016745315.1_protein,c__Cyanobacteriia
GB_GCA_944325225.1_protein,c__Elusimicrobia
GB_GCA_020846535.1_protein,c__JADLDR01
GB_GCA_021784835.1_protein,c__SZUA-79
GB_GCA_021161565.1_protein,c__CG03
GB_GCA_022820025.1_protein,c__UBA11872
GB_GCA_021808105.1_protein,c__Phycisphaerae
GB_GCA_024222485.1_protein,c__RUG730
GB_GCA_020349025.1_protein,c__Krumholzibacteria
GB_GCA_021323865.1_protein,c__UBA5177
GB_GCA_022865845.1_protein,c__BMS3Abin14
GB_GCA_023475165.1_protein,c__JAMCWA01
GB_GCA_019307065.1_protein,c__B64-G9
GB_GCA_020726405.1_protein,c__UBA4055
GB_GCA_023228325.1_protein,c__UBA6266
GB_GCA_019454875.1_protein,c__UBA6191
GB_GCA_019683635.1_protein,c__Ktedonobacteria
GB_GCA_022560555.1_protein,c__JADFSZ01
GB_GCA_023128825.1_protein,c__WOR-3
GB_GCA_024278555.1_protein,c__CG2-30-70-394
GB_GCA_023392595.1_protein,c__UBA4882
GB_GCA_019308925.1_protein,c__B13-G15
GB_GCA_024278345.1_protein,c__JAJRTK01
GB_GCA_023404495.1_protein,c__Thermoleophilia
GB_GCA_944326705.1_protein,c__Deferribacteres
GB_GCA_021373255.1_protein,c__UBA5829
GB_GCA_023261545.1_protein,c__JADGBV01
GB_GCA_024275075.1_protein,c__JAJRXV01
GB_GCA_022616075.1_protein,c__HRBIN11
GB_GCA_023475715.1_protein,c__Humimicrobiia
GB_GCA_022704525.1_protein,c__SpSt-956
GB_GCA_021734025.1_protein,c__JAANXI01
GB_GCA_024398875.1_protein,c__Fibrobacteria
RS_GCF_000828675.1_protein,c__Thermotogae
RS_GCF_000020945.1_protein,c__Coprothermobacteria
RS_GCF_000016545.1_protein,c__Thermoanaerobacteria
GB_GCA_001303705.1_protein,c__DG-26
GB_GCA_001304015.1_protein,c__DG-26_A
GB_GCA_000237975.1_protein,c__Sulfobacillia
GB_GCA_001443005.1_protein,c__GBS-1
RS_GCF_001577525.1_protein,c__Desulfofervidia
GB_GCA_001829155.1_protein,c__GWB1-36-13
GB_GCA_001777915.1_protein,c__AC1
GB_GCA_001798135.1_protein,c__UBA10199
GB_GCA_002344125.1_protein,c__Ignavibacteria
GB_GCA_002450905.1_protein,c__UBA6919
GB_GCA_002441555.1_protein,c__Thermodesulfobacteria
GB_GCA_002839185.1_protein,c__Synergistia
GB_GCA_002779395.1_protein,c__0-14-0-80-59-12
GB_GCA_003242895.1_protein,c__Riflemargulisbacteria
GB_GCA_003645805.1_protein,c__4484-213
GB_GCA_003509545.1_protein,c__Moorellia
GB_GCA_003697085.1_protein,c__UBA8481
GB_GCA_004376375.1_protein,c__E44-bin39
GB_GCA_004377355.1_protein,c__UBA3072
GB_GCA_004172935.1_protein,c__Abditibacteria
GB_GCA_004367365.1_protein,c__UBA3575
RS_GCF_013201725.1_protein,c__Campylobacteria
RS_GCF_014202505.1_protein,c__Armatimonadia
GB_GCA_009873655.1_protein,c__Nitrospinia
GB_GCA_009772965.1_protein,c__WOR-1
GB_GCA_009927005.1_protein,c__FAC87
GB_GCA_012840065.1_protein,c__DUMD01
GB_GCA_002070605.1_protein,c__GWE2-31-10
GB_GCA_012103255.1_protein,c__UBA890
GB_GCA_012517485.1_protein,c__Atribacteria
GB_GCA_011330685.1_protein,c__Desulfobulbia
GB_GCA_012840345.1_protein,c__DTU015
GB_GCA_900299305.1_protein,c__Chthonomonadetes
GB_GCA_012840015.1_protein,c__DUMF01
GB_GCA_013202295.1_protein,c__QNDG01
GB_GCA_903856085.1_protein,c__Omnitrophia
GB_GCA_903881505.1_protein,c__WTBG01
GB_GCA_013792075.1_protein,c__Desulfobacteria
GB_GCA_014360055.1_protein,c__JACIYH01
GB_GCA_007571365.1_protein,c__UBA2968
GB_GCA_014728125.1_protein,c__VGIX01
GB_GCA_016208645.1_protein,c__Methylomirabilia
GB_GCA_016183865.1_protein,c__JACPDT01
GB_GCA_016209225.1_protein,c__UBA8473
GB_GCA_016235455.1_protein,c__UBA10988
GB_GCA_016219225.1_protein,c__RBG-13-43-22
GB_GCA_015486155.1_protein,c__CAIYQO01
GB_GCA_016936235.1_protein,c__Fermentibacteria
GB_GCA_016721195.1_protein,c__Holophagae
GB_GCA_016700195.1_protein,c__Blastocatellia
GB_GCA_016929395.1_protein,c__Zymogenia
GB_GCA_016927495.1_protein,c__Latescibacteria
GB_GCA_018333535.1_protein,c__BSN033
GB_GCA_003054495.1_protein,c__GCA-003054495
GB_GCA_018729555.1_protein,c__RBS10-35
GB_GCA_017744355.1_protein,c__Sericytochromatia
GB_GCA_018265615.1_protein,c__Lentisphaeria
GB_GCA_018001635.1_protein,c__UBA2428
GB_GCA_018266735.1_protein,c__Kapabacteria
GB_GCA_018399745.1_protein,c__Dissulfuribacteria
GB_GCA_018902755.1_protein,c__Desulfarculia
GB_GCA_018725175.1_protein,c__HKB111
GB_GCA_019637435.1_protein,c__Vampirovibrionia
GB_GCA_022072055.1_protein,c__OLB16
GB_GCA_022562795.1_protein,c__JADFOP01
GB_GCA_025060475.1_protein,c__Dictyoglomia
GB_GCA_022180565.1_protein,c__UBA10030
GB_GCA_024276815.1_protein,c__JAJRWM01
GB_GCA_020349885.1_protein,c__G020349885
GB_GCA_024762675.1_protein,c__Anaeroferrophillalia
GB_GCA_913056395.1_protein,c__UBA8108
GB_GCA_021157965.1_protein,c__AB16
GB_GCA_024276995.1_protein,c__JABDJQ01
GB_GCA_022614695.1_protein,c__JAKEIC01
GB_GCA_021108215.1_protein,c__JAAXVQ01
GB_GCA_021778515.1_protein,c__UBA4820
GB_GCA_020426325.1_protein,c__Planctomycetia
GB_GCA_023954375.1_protein,c__J058
GB_GCA_022827275.1_protein,c__UBA1144
GB_GCA_020722965.1_protein,c__JAAYUW01
GB_GCA_021158005.1_protein,c__Aerophobia
GB_GCA_023700825.1_protein,c__Thermoanaerobaculia
GB_GCA_021161905.1_protein,c__B3-B38
GB_GCA_020720625.1_protein,c__Bacteroidia
GB_GCA_021890795.1_protein,c__Symbiobacteriia
GB_GCA_021324775.1_protein,c__Gemmatimonadetes
GB_GCA_021604005.1_protein,c__Nitrospiria
GB_GCA_913055675.1_protein,c__Halanaerobiia
GB_GCA_021811325.1_protein,c__JAJYWN01
GB_GCA_021162505.1_protein,c__AUK180
GB_GCA_021776785.1_protein,c__PLA2
GB_GCA_022616415.1_protein,c__UBA2214
GB_GCA_022828125.1_protein,c__UBA8248
GB_GCA_020725105.1_protein,c__DYFQ01
GB_GCA_021800535.1_protein,c__UBA8468
