original_accession_n,new_name
GB_GCA_014728035.1_protein,g__SHMX01
GB_GCA_016874685.1_protein,g__VGTM01
GB_GCA_014727915.1_protein,g__WJMO01
GB_GCA_016871975.1_protein,g__VHBM01
GB_GCA_016931255.1_protein,g__JAFGFG01
GB_GCA_016838845.1_protein,g__DRGT01
GB_GCA_016932875.1_protein,g__JAFGBZ01
GB_GCA_016866895.1_protein,g__VGKX01
GB_GCA_018396725.1_protein,g__DTGE01
GB_GCA_018238375.1_protein,g__WTCK01
GB_GCA_019057385.1_protein,g__Borrarchaeum
GB_GCA_017883965.1_protein,g__JAFNKG01
GB_GCA_018396615.1_protein,g__JAGTQT01
GB_GCA_017885605.1_protein,g__SM1-50
GB_GCA_019058495.1_protein,g__LC30
GB_GCA_016839805.1_protein,g__Hermodarchaeum
GB_GCA_018303625.1_protein,g__JAGVXV01
GB_GCA_016840465.1_protein,g__Baldrarchaeum
GB_GCA_017656505.1_protein,g__Archaeoglobus_A
GB_GCA_017610335.1_protein,g__JAFCCL01
GB_GCA_019058015.1_protein,g__6H3-1
GB_GCA_019056805.1_protein,g__DXJG01
GB_GCA_019056875.1_protein,g__Jordarchaeum
GB_GCA_018396815.1_protein,g__DTDX01
GB_GCA_018396415.1_protein,g__JAGTRE01
GB_GCA_018396755.1_protein,g__DTBU01
RS_GCF_023016325.1_protein,g__Methanonatronarchaeum
RS_GCF_019599505.1_protein,g__Halomicroarcula
RS_GCF_021023085.1_protein,g__PGCK01
RS_GCF_024362525.1_protein,g__Natronobiforma
RS_GCF_017094525.1_protein,g__Halapricum
RS_GCF_019704315.1_protein,g__Stygiolobus
RS_GCF_023638035.1_protein,g__Natronocalculus
RS_GCF_024972735.1_protein,g__Halalkaliarchaeum
RS_GCF_024662215.1_protein,g__Methanoplanus
RS_GCF_019669965.1_protein,g__Methanoculleus
RS_GCF_024228315.1_protein,g__Halomarina
RS_GCF_023115355.1_protein,g__Halocatena
RS_GCF_019879105.1_protein,g__Natrinema
GB_GCA_025058515.1_protein,g__Geocrenenecus
GB_GCA_024653905.1_protein,g__UBA493
GB_GCA_020696345.1_protein,g__JAEHCK01
GB_GCA_020833415.1_protein,g__DRZP01
GB_GCA_021809545.1_protein,g__JAJYEA01
GB_GCA_021819135.1_protein,g__UBA184
GB_GCA_019721075.1_protein,g__Sysuiplasma
GB_GCA_021162065.1_protein,g__JAGGZK01
GB_GCA_019594055.1_protein,g__Haladaptoplasma
GB_GCA_025059075.1_protein,g__JANXDZ01
GB_GCA_020696385.1_protein,g__JAGLSY01
GB_GCA_024256165.1_protein,g__HK02M2
GB_GCA_019685655.1_protein,g__DSLH01
GB_GCA_022749815.1_protein,g__JAKIWV01
GB_GCA_021158305.1_protein,g__B63
GB_GCA_025054795.1_protein,g__Caldarchaeum
GB_GCA_023544565.1_protein,g__DQIP01
GB_GCA_020725985.1_protein,g__DYTM01
GB_GCA_020027325.1_protein,g__Cenarchaeum
GB_GCA_021158865.1_protein,g__JAGGXW01
GB_GCA_021797735.1_protein,g__Ferroplasma
GB_GCA_023705985.1_protein,g__18H4-34
GB_GCA_024644385.1_protein,g__JACEMX01
GB_GCA_025058315.1_protein,g__DRVV01
GB_GCA_019347805.1_protein,g__JAHWKR01
GB_GCA_023269735.1_protein,g__JANXEW01
GB_GCA_023396065.1_protein,g__Methanocorpusculum
GB_GCA_022865315.1_protein,g__JALHSR01
GB_GCA_021800035.1_protein,g__JAKAWJ01
GB_GCA_023379385.1_protein,g__JAMCUS01
GB_GCA_020346605.1_protein,g__BS750m-G28
GB_GCA_021498095.1_protein,g__Prometheoarchaeum
GB_GCA_020056305.1_protein,g__JAGVIA01
GB_GCA_021325255.1_protein,g__CADDZS01
GB_GCA_022848825.1_protein,g__JAGMCJ01
GB_GCA_020696365.1_protein,g__UBA10834
GB_GCA_020054495.1_protein,g__SG8-52-3
GB_GCA_019685555.1_protein,g__JABFQN01
GB_GCA_021810045.1_protein,g__JAJZOM01
GB_GCA_025058835.1_protein,g__DSZV01
GB_GCA_023129115.1_protein,g__WALL01
GB_GCA_024256265.1_protein,g__JACAEJ01
GB_GCA_021813385.1_protein,g__JAKAKT01
RS_GCF_000021965.1_protein,g__Methanosphaerula
RS_GCF_000015205.1_protein,g__Pyrobaculum
RS_GCF_000217995.1_protein,g__Methanosalsum
RS_GCF_000166095.1_protein,g__Methanothermus
RS_GCF_000251105.1_protein,g__Methanocella
GB_GCA_001443365.1_protein,g__CSP1-1
GB_GCA_000830275.1_protein,g__GW2011-AR10
GB_GCA_001516585.1_protein,g__Thermocladium
GB_GCA_000415985.1_protein,g__Haloquadratum
GB_GCA_000389735.1_protein,g__Acd1
GB_GCA_001593935.1_protein,g__B26-1
GB_GCA_001717005.1_protein,g__Methanomethylicus
RS_GCF_001481685.1_protein,g__Ignicoccus
RS_GCF_000698785.1_protein,g__Nitrososphaera
GB_GCA_001871475.1_protein,g__CG1-02-47-40
GB_GCA_001766815.1_protein,g__Syntropharchaeum_A
GB_GCA_001940665.1_protein,g__Odinarchaeum
RS_GCF_002214605.1_protein,g__Pyrococcus
RS_GCF_900176435.1_protein,g__Picrophilus
GB_GCA_002011035.1_protein,g__JdFR-11
GB_GCA_002010045.1_protein,g__JdFR-22
RS_GCF_900116205.1_protein,g__Halostagnicola
RS_GCF_900108505.1_protein,g__Halopenitus
RS_GCF_900113245.1_protein,g__Halopelagius
GB_GCA_002509405.1_protein,g__VadinCA11
GB_GCA_002779555.1_protein,g__20-14-0-80-47-9
GB_GCA_002490245.1_protein,g__B24-2
GB_GCA_002503135.1_protein,g__UBA207
GB_GCA_002778455.1_protein,g__1-14-0-10-45-29
GB_GCA_002498315.1_protein,g__Methanofollis
GB_GCA_002494765.1_protein,g__UBA186
GB_GCA_002501765.1_protein,g__UBA204
RS_GCF_003173335.1_protein,g__Methanospirillum
GB_GCA_003135935.1_protein,g__FEN-33
GB_GCA_003229935.1_protein,g__BMS3B
GB_GCA_003144275.1_protein,g__Hodarchaeum
GB_GCA_003164815.1_protein,g__BOG-1369
GB_GCA_003164755.1_protein,g__Methanosarcina
GB_GCA_003176995.1_protein,g__Nitrosopolaris
GB_GCA_003019535.1_protein,g__ECH-B-1
GB_GCA_003558085.1_protein,g__UBA588
GB_GCA_004524445.1_protein,g__TEKIR-14
GB_GCA_004212085.1_protein,g__Methanolliviera
GB_GCA_004193545.1_protein,g__Ethanoperedens
GB_GCA_004212075.1_protein,g__Methanoliparum
GB_GCA_004348015.1_protein,g__WYZ-LMO11
GB_GCA_007118075.1_protein,g__SKSH01
GB_GCA_007050895.1_protein,g__SG8-32-3
GB_GCA_002067895.1_protein,g__MVRE01
GB_GCA_002067065.1_protein,g__Methanobacterium
GB_GCA_002067095.1_protein,g__Methanolinea_A
RS_GCF_004765795.1_protein,g__Halorussus
RS_GCF_000258425.1_protein,g__Fervidicoccus
RS_GCF_008245225.1_protein,g__Natrarchaeobius
RS_GCF_009729055.1_protein,g__Sulfurisphaera
RS_GCF_011043775.1_protein,g__Natronolimnobius
RS_GCF_012027595.1_protein,g__Thermococcus
RS_GCF_013839425.1_protein,g__Halorhabdus
GB_GCA_009787175.1_protein,g__PALSA-986
GB_GCA_902384455.1_protein,g__CABMCB01
GB_GCA_013178285.1_protein,g__Methanofastidiosum
GB_GCA_011365055.1_protein,g__RDOG01
GB_GCA_013152685.1_protein,g__JAADFX01
GB_GCA_902764455.1_protein,g__Methanobrevibacter_A
GB_GCA_013415865.1_protein,g__MVRC01
GB_GCA_012520845.1_protein,g__JAAYNL01
GB_GCA_013178225.1_protein,g__JABLXE01
GB_GCA_013331805.1_protein,g__UBA10161
GB_GCA_013426015.1_protein,g__Fermentimicrarchaeum
GB_GCA_013415665.1_protein,g__LKUD01
GB_GCA_014361195.1_protein,g__JACIWB01
GB_GCA_903828955.1_protein,g__CAIKOA01
GB_GCA_014523685.1_protein,g__TH5893
GB_GCA_014237145.1_protein,g__Methanocomedens
RS_GCF_014647475.1_protein,g__Halocalculus
RS_GCF_014962245.1_protein,g__Thermosphaera
