original_accession_n,new_name
GB_GCA_002495315.1_protein,f__UBA141
GB_GCA_003009755.1_protein,f__SW-10-69-26
GB_GCA_003650925.1_protein,f__QMSL01
GB_GCA_003650785.1_protein,f__B20-G17
GB_GCA_003601775.1_protein,f__PIYN01
GB_GCA_005878485.1_protein,f__RBG-16-68-12
RS_GCF_003675855.1_protein,f__QS-9-68-17
GB_GCA_009904015.1_protein,f__Fervidicoccaceae
GB_GCA_009758405.1_protein,f__ARK-15
GB_GCA_009889515.1_protein,f__HR02
GB_GCA_011605775.1_protein,f__JAAOZN01
GB_GCA_903884505.1_protein,f__DTNL01
GB_GCA_013791785.1_protein,f__SG8-5
GB_GCA_013375455.1_protein,f__HEL-GB-A
GB_GCA_903877165.1_protein,f__DHVEG-1
GB_GCA_014361295.1_protein,f__JACIVX01
GB_GCA_016205145.1_protein,f__JACQJH01
GB_GCA_016207515.1_protein,f__JACQPN01
GB_GCA_015520265.1_protein,f__WAQK01
GB_GCA_015660865.1_protein,f__JACTUA01
GB_GCA_016928155.1_protein,f__JAFGLG01
GB_GCA_016874675.1_protein,f__VGTL01
GB_GCA_017608575.1_protein,f__DTGL01
GB_GCA_017885655.1_protein,f__JAFNFQ01
GB_GCA_018396535.1_protein,f__DRYS01
GB_GCA_018813505.1_protein,f__Bilamarchaeaceae
GB_GCA_018897475.1_protein,f__QMZM01
RS_GCF_024298845.1_protein,f__Natrialbaceae
GB_GCA_024280435.1_protein,f__Kariarchaeaceae
GB_GCA_023265395.1_protein,f__JAHFTX01
GB_GCA_020724545.1_protein,f__Methanoperedenaceae
GB_GCA_021161045.1_protein,f__B23
GB_GCA_022848835.1_protein,f__JAJISG01
GB_GCA_023128965.1_protein,f__QMZT01
GB_GCA_021851265.1_protein,f__UBA183
GB_GCA_021161865.1_protein,f__B18-G2
GB_GCA_021325135.1_protein,f__JAJPHT01
GB_GCA_021161825.1_protein,f__B69-G16
GB_GCA_021158125.1_protein,f__WUQV01
