dset_name,node,type,dist_to_root,ec_cat,count
gen4arc,g__Prometheoarchaeum,extant,4.0698,3,104
gen4arc,g__Prometheoarchaeum,extant,4.0698,1,78
gen4arc,g__Prometheoarchaeum,extant,4.0698,4,51
gen4arc,g__Prometheoarchaeum,extant,4.0698,6,46
gen4arc,g__Prometheoarchaeum,extant,4.0698,5,36
gen4arc,g__Pyrobaculum,extant,4.28243,2,138
gen4arc,g__Pyrobaculum,extant,4.28243,3,72
gen4arc,g__Pyrobaculum,extant,4.28243,1,69
gen4arc,g__Pyrobaculum,extant,4.28243,6,55
gen4arc,g__Pyrobaculum,extant,4.28243,4,47
gen4arc,g__Pyrobaculum,extant,4.28243,5,20
gen4arc,g__Pyrococcus,extant,2.83104,2,152
gen4arc,g__Pyrococcus,extant,2.83104,3,80
gen4arc,g__Pyrococcus,extant,2.83104,1,62
gen4arc,g__Pyrococcus,extant,2.83104,6,50
gen4arc,g__Pyrococcus,extant,2.83104,4,40
gen4arc,g__Pyrococcus,extant,2.83104,5,26
gen4arc,g__Pyrodictium,extant,5.3179,2,144
gen4arc,g__Pyrodictium,extant,5.3179,3,75
gen4arc,g__Pyrodictium,extant,5.3179,1,70
gen4arc,g__Pyrodictium,extant,5.3179,6,53
gen4arc,g__Pyrodictium,extant,5.3179,4,41
gen4arc,g__Pyrodictium,extant,5.3179,5,21
gen4arc,g__Pyrolobus,extant,5.21969,2,132
gen4arc,g__Pyrolobus,extant,5.21969,3,67
gen4arc,g__Pyrolobus,extant,5.21969,1,61
gen4arc,g__Pyrolobus,extant,5.21969,6,52
gen4arc,g__Pyrolobus,extant,5.21969,4,40
gen4arc,g__Pyrolobus,extant,5.21969,5,19
gen4arc,g__QBUR01,extant,5.078930000000001,2,150
gen4arc,g__QBUR01,extant,5.078930000000001,1,71
gen4arc,g__QBUR01,extant,5.078930000000001,6,58
gen4arc,g__QBUR01,extant,5.078930000000001,3,54
gen4arc,g__QBUR01,extant,5.078930000000001,4,45
gen4arc,g__QBUR01,extant,5.078930000000001,5,24
gen4arc,g__QCWD01,extant,5.94291,2,129
gen4arc,g__QCWD01,extant,5.94291,1,70
gen4arc,g__QCWD01,extant,5.94291,3,60
gen4arc,g__QCWD01,extant,5.94291,6,52
gen4arc,g__QCWD01,extant,5.94291,4,40
gen4arc,g__QCWD01,extant,5.94291,5,23
gen4arc,g__QENH01,extant,2.57483,2,178
gen4arc,g__QENH01,extant,2.57483,3,94
gen4arc,g__QENH01,extant,2.57483,1,80
gen4arc,g__QENH01,extant,2.57483,4,57
gen4arc,g__QENH01,extant,2.57483,6,57
gen4arc,g__QENH01,extant,2.57483,5,31
gen4arc,g__QNYQ01,extant,5.41361,2,105
gen4arc,g__QNYQ01,extant,5.41361,3,58
gen4arc,g__QNYQ01,extant,5.41361,1,47
gen4arc,g__QNYQ01,extant,5.41361,6,35
gen4arc,g__QNYQ01,extant,5.41361,4,25
gen4arc,g__QNYQ01,extant,5.41361,5,21
gen4arc,g__RBG-16-57-9,extant,5.65963,2,150
gen4arc,g__RBG-16-57-9,extant,5.65963,3,113
gen4arc,g__RBG-16-57-9,extant,5.65963,1,93
gen4arc,g__RBG-16-57-9,extant,5.65963,4,50
gen4arc,g__RBG-16-57-9,extant,5.65963,6,49
gen4arc,g__RBG-16-57-9,extant,5.65963,5,29
gen4arc,g__RBG-16-68-12,extant,4.578740000000001,2,144
gen4arc,g__RBG-16-68-12,extant,4.578740000000001,3,81
gen4arc,g__RBG-16-68-12,extant,4.578740000000001,1,77
gen4arc,g__RBG-16-68-12,extant,4.578740000000001,6,54
gen4arc,g__RBG-16-68-12,extant,4.578740000000001,4,46
gen4arc,g__RBG-16-68-12,extant,4.578740000000001,5,27
gen4arc,g__RDOG01,extant,3.66569,2,192
gen4arc,g__RDOG01,extant,3.66569,1,116
gen4arc,g__RDOG01,extant,3.66569,3,105
gen4arc,g__RDOG01,extant,3.66569,4,65
gen4arc,g__RDOG01,extant,3.66569,6,55
gen4arc,g__RDOG01,extant,3.66569,5,40
gen4arc,g__RumEn-M2,extant,4.674720000000001,2,126
gen4arc,g__RumEn-M2,extant,4.674720000000001,1,67
gen4arc,g__RumEn-M2,extant,4.674720000000001,3,61
gen4arc,g__RumEn-M2,extant,4.674720000000001,6,53
gen4arc,g__RumEn-M2,extant,4.674720000000001,4,37
gen4arc,g__RumEn-M2,extant,4.674720000000001,5,24
gen4arc,g__S012-22,extant,5.56857,2,129
gen4arc,g__S012-22,extant,5.56857,3,69
gen4arc,g__S012-22,extant,5.56857,1,68
gen4arc,g__S012-22,extant,5.56857,4,44
gen4arc,g__S012-22,extant,5.56857,6,40
gen4arc,g__S012-22,extant,5.56857,5,20
gen4arc,g__S014-41,extant,4.445250000000001,2,128
gen4arc,g__S014-41,extant,4.445250000000001,3,75
gen4arc,g__S014-41,extant,4.445250000000001,1,74
gen4arc,g__S014-41,extant,4.445250000000001,4,45
gen4arc,g__S014-41,extant,4.445250000000001,6,45
gen4arc,g__S014-41,extant,4.445250000000001,5,25
gen4arc,g__S141-84,extant,5.64342,2,127
gen4arc,g__S141-84,extant,5.64342,3,69
gen4arc,g__S141-84,extant,5.64342,1,61
gen4arc,g__S141-84,extant,5.64342,6,37
gen4arc,g__S141-84,extant,5.64342,4,33
gen4arc,g__S141-84,extant,5.64342,5,20
gen4arc,g__SD8,extant,4.25816,2,146
gen4arc,g__SD8,extant,4.25816,3,74
gen4arc,g__SD8,extant,4.25816,1,66
gen4arc,g__SD8,extant,4.25816,6,58
gen4arc,g__SD8,extant,4.25816,4,49
gen4arc,g__SD8,extant,4.25816,5,24
gen4arc,g__SG8-32-3,extant,5.66194,2,110
gen4arc,g__SG8-32-3,extant,5.66194,3,53
gen4arc,g__SG8-32-3,extant,5.66194,1,50
gen4arc,g__SG8-32-3,extant,5.66194,6,44
gen4arc,g__SG8-32-3,extant,5.66194,4,25
gen4arc,g__SG8-32-3,extant,5.66194,5,20
gen4arc,g__SG8-52-3,extant,4.30578,2,145
gen4arc,g__SG8-52-3,extant,4.30578,1,85
gen4arc,g__SG8-52-3,extant,4.30578,3,83
gen4arc,g__SG8-52-3,extant,4.30578,6,51
gen4arc,g__SG8-52-3,extant,4.30578,4,42
gen4arc,g__SG8-52-3,extant,4.30578,5,24
gen4arc,g__SHMX01,extant,3.15625,2,152
gen4arc,g__SHMX01,extant,3.15625,3,118
gen4arc,g__SHMX01,extant,3.15625,1,95
gen4arc,g__SHMX01,extant,3.15625,6,49
gen4arc,g__SHMX01,extant,3.15625,4,43
gen4arc,g__SHMX01,extant,3.15625,5,25
gen4arc,g__SIG5,extant,4.644620000000001,2,131
gen4arc,g__SIG5,extant,4.644620000000001,1,67
gen4arc,g__SIG5,extant,4.644620000000001,3,60
gen4arc,g__SIG5,extant,4.644620000000001,6,52
gen4arc,g__SIG5,extant,4.644620000000001,4,40
gen4arc,g__SIG5,extant,4.644620000000001,5,27
gen4arc,g__SKSH01,extant,2.65432,2,132
gen4arc,g__SKSH01,extant,2.65432,1,78
gen4arc,g__SKSH01,extant,2.65432,3,70
gen4arc,g__SKSH01,extant,2.65432,6,54
gen4arc,g__SKSH01,extant,2.65432,4,48
gen4arc,g__SKSH01,extant,2.65432,5,23
gen4arc,g__SM1-50,extant,4.38642,2,134
gen4arc,g__SM1-50,extant,4.38642,3,92
gen4arc,g__SM1-50,extant,4.38642,1,78
gen4arc,g__SM1-50,extant,4.38642,6,53
gen4arc,g__SM1-50,extant,4.38642,4,40
gen4arc,g__SM1-50,extant,4.38642,5,24
